,adult,budget,genres,id,original_language,original_title,overview,popularity,production_companies,runtime,spoken_languages,status,vote_average,vote_count
30160,False,0,"[{'id': 35, 'name': 'Comedy'}]",43649,it,Le nuove comiche,A few funny little novels about different aspects of life.,1.254781,[],102.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,5.0,32.0
26084,False,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",47212,en,China Girl,Teenage lovers Tony (Richard Panebianco) and Tyan-Hwa (Sari Chang) tip the balance of power in New York's Little Italy and Chinatown.,0.180898,"[{'name': 'Great American Films Limited Partnership', 'id': 137}, {'name': 'Vestron Pictures', 'id': 12360}]",90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.6,8.0
37928,False,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]",133953,en,Snow Shark: Ancient Snow Beast,12 years ago during a scientific expedition 3 animal biologists stumbled upon a great discovery that ended in tragedy. Whatever killed them has awoken and now the legend of the Ancient Snow Beast could prove to be more than just a legend.,0.23136,[],80.0,[],Released,4.0,2.0
929,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",43795,en,Penny Serenade,"A light-hearted romantic drama starring Cary Grant &amp; Irene Dunne as a couple who meet, fall in love, quarrel and reunite. While listening to a recording of ""Penny Serenade"", Julie Gardiner Adams (Irene Dunne) begins reflecting on her past. She recalls her impulsive marriage to newspaper reporter Roger Adams (Carey Grant), which begins on a deliriously happy note but turns out to be fraught with tragedy. Other songs remind her of their courtship, their marriage, their desire for a child, and the joys and sorrows they have shared. A flood of memories come back to her as she ponders on their present problems and how they arose.",2.446972,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]",119.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.4,23.0
7366,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",23981,en,Iron And Silk,"Iron and Silk is a 1990 movie based on the eponymous book by American writer Mark Salzman. It details his journey to China after college to study Chinese wu shu, better known in the west as kung fu, and to teach English. Though not trained as an actor, Salzman starred as himself, as did Pan Qingfu, who claimed no one else could portray him on film. Salzman's experiences occurred in Changsha, Hunan, though the film was shot in Hangzhou, Zhejiang. (Wikipedia)",0.00022,"[{'name': 'Tokyo Broadcasting System (TBS)', 'id': 1393}, {'name': 'SUN-Productions', 'id': 35976}]",92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.0,1.0
11227,False,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",14597,en,Lassie,"A family in financial crisis is forced to sell Lassie, their beloved dog. Hundreds of miles away from her true family, Lassie escapes and sets out on a journey home.",12.61454,"[{'name': 'Odyssey Entertainmant', 'id': 2935}]",100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.7,36.0
35973,False,0,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",373451,en,Michael Jackson's Journey from Motown to Off the Wall,Director Spike Lee chronicles Michael Jackson's early rise to fame.,2.321825,"[{'name': '40 Acres & A Mule Filmworks', 'id': 4319}]",110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,7.2,33.0
41155,False,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",319096,en,Whitney,Chronicles Whitney Houston's rise to fame and turbulent relationship with husband Bobby Brown.,8.048503,"[{'name': 'Silver Screen Pictures', 'id': 12799}, {'name': 'Sanitsky Company', 'id': 53716}]",90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.0,32.0
41066,False,0,"[{'id': 18, 'name': 'Drama'}]",87035,nl,Razend,"Sven (15) will be director and has been busy filming. He films his friends, especially those to do free running and put the videos on YouTube. He asks Roosmarijn to work on his first feature film. They may not know that he gets a thrashing at home regularly. He manages his bruises for anyone to hide until he one day so badly that he absconds with his grandmother. Thus he misses his birthday. Roosmarijn thinks he likes her anymore and his friends are angry with him. He decides to once and for all to deal with his father until he discovered why his father beats him.",1.76176,"[{'name': 'Shooting Star Filmcompany BV', 'id': 1259}]",0.0,[],Released,6.5,8.0
25226,False,0,"[{'id': 18, 'name': 'Drama'}]",137357,en,Hungry Hill,Life becomes a tragedy for the wife (Margaret Lockwood) of an Irish heir (Dennis Price) to a 19th-century family feud and fortune.,1.199812,"[{'name': 'Two Cities Films', 'id': 4006}]",92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,4.0,2.0
29361,False,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",92389,en,Badge 373,"When his partner is killed, tough Irish detective Eddie Ryan (Robert Duvall) vows to avenge the death, whatever the cost. As he begins unraveling clues, his behavior becomes so outrageous that he's obliged to turn in his badge, but the experience only emboldens him. Ryan eventually learns that his partner was caught up in a Puerto Rican gun-running scheme masterminded by a crook named Sweet Willie (Henry Darrow), who wants to foment revolutionary war.",0.089257,"[{'name': 'Paramount Pictures', 'id': 4}]",116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.5,2.0
27068,False,0,"[{'id': 18, 'name': 'Drama'}]",50650,cn,天水圍的夜與霧,"Ann Hui's darkly realistic Night and Fog starts at the end of the story: a man murders his wife and, based on statements by unreliable witnesses, the film goes on to investigate how things could have got this far and what kind of man was able to kill his family.",0.306845,[],122.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,7.6,4.0
27321,False,1000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",71511,en,Medium Raw,"Capturing the sadistic serial killer ""The Wolf"" was just the beginning for rookie cop Johnny Morgan. As he escorts the monster to his new home in the dark underground halls of Parker's Asylum, bedlam ensues and Johnny along with a handful of civilians become players in a night of survival against the world's most terrifying inmates.",0.81999,"[{'name': 'Black walk Productions', 'id': 5759}, {'name': 'Defiant Empire', 'id': 22270}]",111.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,3.9,7.0
27831,False,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",309503,en,Zipper,"Sam Ellis is a man on the rise — a hot-shot federal prosecutor on the cusp of a bright political future. But what was meant to be a one-time experience with an escort turns into a growing addiction — a new demon threatening to destroy his life, family, and career.",4.711535,"[{'name': 'Protozoa Pictures', 'id': 7503}, {'name': 'Cargo Entertainment', 'id': 34380}, {'name': '33 Pictures', 'id': 60171}]",103.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.6,61.0
7010,False,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",9620,en,Paycheck,"Michael Jennings is a genius who's hired – and paid handsomely – by high-tech firms to work on highly sensitive projects, after which his short-term memory is erased so he's incapable of breaching security. But at the end of a three-year job, he's told he isn't getting a paycheck and instead receives a mysterious envelope. In it are clues he must piece together to find out why he wasn't paid – and why he's now in hot water.",12.571789,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Lion Rock Productions', 'id': 2812}, {'name': 'Province of British Columbia Film Incentive BC', 'id': 11567}, {'name': 'Solomon/Hackett Productions', 'id': 22536}]",119.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.9,594.0
27114,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",63612,es,Bienvenido a casa,"Young couple Samuel and Eva move to Madrid and start living together when he finds work as a photographer. Although Samuel doesn't knows, Eva's expecting a baby.",0.085908,"[{'name': 'Fernando Trueba Producciones Cinematográficas S.A.', 'id': 11424}]",118.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,5.0,1.0
10638,False,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",13653,es,El Aura,"In neo-noir fashion El Aura narrates in the first person the hallucinating voyage of Espinoza, a quiet, cynical taxidermist, who suffers epilepsy attacks, and is obsessed with committing the perfect crime.",3.240132,"[{'name': 'Aura Films', 'id': 2792}, {'name': 'Naya Films SA', 'id': 2793}, {'name': 'Productores Asociados SA', 'id': 2794}]",134.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,6.9,42.0
