,acousticness,album_id,album_name,analysis_url,artist_ids,artist_names,danceability,disc_number,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,popularity,preview_url,song_id,song_name,speechiness,tempo,time_signature,track_href,track_number,valence
0,0.346,0IyCnBPnQXafGgV0Jsa5Kq,WWE: Uncaged VII,https://api.spotify.com/v1/audio-analysis/752sSMW7xm23gbOrKb3xoK,"6irRU9KRGb0cMtlsBZMg2i,0spHbv2fw49lDMkbOAdaqX","Jim Johnston,WWE",0.0773,1,191393,0.4,0.72,4,0.105,-7.733,0,17,https://p.scdn.co/mp3-preview/25b55461c86e0b90d75272c708980db5b24d5a62?cid=6d24f4609a484836999313e6e4f33db8,752sSMW7xm23gbOrKb3xoK,Pirate (1995),0.0335,174.155,4,https://api.spotify.com/v1/tracks/752sSMW7xm23gbOrKb3xoK,9,0.0383
1,0.0914,0IyCnBPnQXafGgV0Jsa5Kq,WWE: Uncaged VII,https://api.spotify.com/v1/audio-analysis/4zD9WTuXf5ta2Goz8GEvzj,"6irRU9KRGb0cMtlsBZMg2i,0spHbv2fw49lDMkbOAdaqX","Jim Johnston,WWE",0.571,1,204920,0.77,0.81,11,0.127,-8.006,0,16,https://p.scdn.co/mp3-preview/0f9b384bce1a7967764506166acd491be423d4de?cid=6d24f4609a484836999313e6e4f33db8,4zD9WTuXf5ta2Goz8GEvzj,Blu Brothers (1995),0.0471,167.48,4,https://api.spotify.com/v1/tracks/4zD9WTuXf5ta2Goz8GEvzj,6,0.46
2,0.78,0IyCnBPnQXafGgV0Jsa5Kq,WWE: Uncaged VII,https://api.spotify.com/v1/audio-analysis/6QEZ15HGoHGaHaH4NBgzvs,"6irRU9KRGb0cMtlsBZMg2i,0spHbv2fw49lDMkbOAdaqX","Jim Johnston,WWE",0.753,1,183733,0.579,0.949,7,0.224,-5.892,1,19,https://p.scdn.co/mp3-preview/ad7d1239473217c15546903b1d30923edff1ced3?cid=6d24f4609a484836999313e6e4f33db8,6QEZ15HGoHGaHaH4NBgzvs,Lives Are Going to Change (1995),0.0365,87.493,4,https://api.spotify.com/v1/tracks/6QEZ15HGoHGaHaH4NBgzvs,7,0.605
3,0.101,4xojpTd5C2kvKP7SLhZEhN,1995,https://api.spotify.com/v1/audio-analysis/21IiEw3SqSLLcMmPQt44zC,3xqrRhBSgCer7lokC0Lhk4,CoryaYo,0.798,1,159057,0.481,7.03e-06,6,0.196,-8.435,1,47,https://p.scdn.co/mp3-preview/4acd96d60506f66885980b04a3a7c4afaae9589b?cid=6d24f4609a484836999313e6e4f33db8,21IiEw3SqSLLcMmPQt44zC,1995,0.17,90.188,4,https://api.spotify.com/v1/tracks/21IiEw3SqSLLcMmPQt44zC,1,0.579
4,0.877,7KRXWeJYBkyUmwOFTayiQk,Phaedra,https://api.spotify.com/v1/audio-analysis/0T0gvl2xuwb0zySazflNbN,1BGN1IdyiSR0ZYrkoKNchl,Tangerine Dream,0.271,1,1007773,0.331,0.938,2,0.0967,-19.934,0,51,,0T0gvl2xuwb0zySazflNbN,Phaedra - 1995 Remaster,0.0417,148.04,4,https://api.spotify.com/v1/tracks/0T0gvl2xuwb0zySazflNbN,1,0.0559
5,0.141,0IAENkkw32C2AFHv5XvrTq,3 Ring Circus - Live At The Palace,https://api.spotify.com/v1/audio-analysis/4upI3VkfF64kCqXBmZPQQn,0EdvGhlC1FkGItLOWQzG4J,Sublime,0.525,1,154760,0.55,9.01e-05,2,0.363,-8.115,1,46,,4upI3VkfF64kCqXBmZPQQn,Great Stone - Live At The Palace/1995,0.0759,74.497,4,https://api.spotify.com/v1/tracks/4upI3VkfF64kCqXBmZPQQn,1,0.543
6,0.421,3l7b7QqBL3S5bRpkE6Q3xS,1995,https://api.spotify.com/v1/audio-analysis/5C0Mo0n7rb5Odo4IMA2tuV,3VVLqeEqQQqTgT8YhfY9Z6,Emmit Fenn,0.526,1,226493,0.484,3.02e-05,0,0.0949,-8.117,1,41,https://p.scdn.co/mp3-preview/af3f57b76a0d4c8ffa780f920763ded0a1319463?cid=6d24f4609a484836999313e6e4f33db8,5C0Mo0n7rb5Odo4IMA2tuV,1995,0.0571,139.928,4,https://api.spotify.com/v1/tracks/5C0Mo0n7rb5Odo4IMA2tuV,1,0.0712
7,0.0325,0CEHFvHUQ0ZSv3mugziS76,Anthology: 1995-2010,https://api.spotify.com/v1/audio-analysis/4uHWKxOguUCwu05P0cfveU,5a2EaR3hamoenG9rDuVn8j,Prince,0.929,1,191120,0.593,2.11e-05,8,0.273,-5.925,1,48,https://p.scdn.co/mp3-preview/640a8d324ae006a856364f4e207ffb017479b2a3?cid=6d24f4609a484836999313e6e4f33db8,4uHWKxOguUCwu05P0cfveU,Black Sweat,0.279,108.862,4,https://api.spotify.com/v1/tracks/4uHWKxOguUCwu05P0cfveU,2,0.67
8,0.0188,0IAENkkw32C2AFHv5XvrTq,3 Ring Circus - Live At The Palace,https://api.spotify.com/v1/audio-analysis/6QHTeHHuTXpSK0F0YluN9T,0EdvGhlC1FkGItLOWQzG4J,Sublime,0.6,1,141480,0.896,2.97e-06,2,0.138,-5.357,1,42,,6QHTeHHuTXpSK0F0YluN9T,54-46 Was My Number - Live At The Palace/1995,0.175,95.18,4,https://api.spotify.com/v1/tracks/6QHTeHHuTXpSK0F0YluN9T,17,0.534
9,0.317,26Xf0FH58wO2VVWk1TyJDN,Live At Red Rocks 8.15.95,https://api.spotify.com/v1/audio-analysis/7GtZXSagPaHXd0eQ5YmCN8,2TI7qyDE0QfyOlnbtfDo7L,Dave Matthews Band,0.432,1,372867,0.691,5.38e-06,7,0.391,-8.987,1,40,https://p.scdn.co/mp3-preview/0479a3bf9b306bbe750d3ab9e7049017e6c33c87?cid=6d24f4609a484836999313e6e4f33db8,7GtZXSagPaHXd0eQ5YmCN8,"Recently - Live at Red Rocks Amphitheatre, Morrison, CO - August 1995",0.0528,121.344,4,https://api.spotify.com/v1/tracks/7GtZXSagPaHXd0eQ5YmCN8,6,0.182
